site_name,city,site_id,list_date,site_score,indicator
Carpenter Snow Creek Mining District,Neihart,MT0001096353,09/13/2001,50.00,No
East Helena Site,East Helena,MTD006230346,09/21/1984,61.65,No
Flat Creek IMM,Superior,MT0012694970,09/23/2009,51.33,No
Idaho Pole Co.,Bozeman,MTD006232276,06/10/1986,38.29,No
Libby Asbestos,Libby,MT0009083840,10/24/2002,,No
Libby Ground Water Contamination,Libby,MTD980502736,09/08/1983,37.67,No
Lockwood Solvent Ground Water Plume,Billings,MT0007623052,12/01/2000,45.69,No
Milltown Reservoir Sediments,Milltown,MTD980717565,09/08/1983,43.78,No
Montana Pole and Treating,Butte,MTD006230635,07/22/1987,33.03,No
Mouat Industries,Columbus,MTD021997689,06/10/1986,31.66,No
Silver Bow Creek/Butte Area,Silver Bow Creek,MTD980502777,09/08/1983,63.76,No
Upper Tenmile Creek Mining Area,"Helena, Rimini",MTSFN7578012,10/22/1999,50.00,No
10th Street Site,Columbus,NED981713837,08/30/1990,28.90,No
Bruno Co-op Association/Associated Properties,Bruno,NED981713829,06/17/1996,50.00,No
Cleburn Street Well,Grand Island,NED981499312,10/14/1992,50.00,No
Cornhusker Army Ammunition Plant,Hall County,NE2213820234,07/22/1987,51.13,Yes
Garvey Elevator,Hastings,NEN000704351,09/14/2005,50.00,No
Hastings Ground Water Contamination,Hastings,NED980862668,06/10/1986,42.24,No
Iowa-Nebraska Light & Power Co,Norfolk,NED986373678,04/07/2016,40.80,No
Lindsay Manufacturing Co.,Lindsay,NED068645696,10/04/1989,47.91,No
Nebraska Ordnance Plant (Former),Mead,NE6211890011,08/30/1990,31.94,No
Ogallala Ground Water Contamination,Ogallala,NED986369247,12/16/1994,50.00,No
Old HWY 275 and N 288th Street,Valley,NEN000704272,08/03/2017,50.00,No
Omaha Lead,Omaha,NESFN0703481,04/30/2003,50.00,No
Parkview Well,Grand Island,NEN000704456,04/19/2006,50.00,No
PCE Southeast Contamination,York,NEN000706200,05/12/2014,43.33,No
PCE/TCE Northeast Contamination,York,NEN000706105,05/12/2014,50.00,No
Sherwood Medical Co.,Norfolk,NED084626100,10/14/1992,50.00,No
West Highway 6 & Highway 281,Hastings,NEN000704738,04/19/2006,50.00,No
Carson River Mercury Site,"Churchill County, Lyon County",NVD980813646,08/30/1990,39.07,No
Auburn Road Landfill,Londonderry,NHD980524086,09/08/1983,36.30,No
Beede Waste Oil,Plaistow,NHD018958140,12/23/1996,70.71,No
Chlor-Alkali Facility (Former),Berlin,NHN000103313,09/14/2005,30.54,No
Coakley Landfill,North Hampton,NHD064424153,06/10/1986,29.16,No
Collins & Aikman Plant (Former),Farmington,NHN000105928,12/12/2013,50.00,No
Dover Municipal Landfill,Dover,NHD980520191,09/08/1983,36.98,No
Fletcher's Paint Works & Storage,Milford,NHD001079649,03/31/1989,35.39,No
Kearsarge Metallurgical Corp.,Conway,NHD062002001,09/21/1984,38.45,No
Keefe Environmental Services,Epping,NHD092059112,09/08/1983,65.19,No
Mottolo Pig Farm,Raymond,NHD980503361,07/22/1987,40.70,No
New Hampshire Plating Co.,Merrimack,NHD001091453,10/14/1992,50.00,No
Ottati & Goss/Kingston Steel Drum,Kingston,NHD990717647,09/08/1983,53.41,No
Pease Air Force Base,"Newington, Portsmouth",NH7570024847,02/21/1990,39.42,Yes
Savage Municipal Water Supply,Milford,NHD980671002,09/21/1984,37.52,No
Somersworth Sanitary Landfill,Somersworth,NHD980520225,09/08/1983,65.56,No
South Municipal Water Supply Well,Peterborough,NHD980671069,09/21/1984,35.64,No
Sylvester,Nashua,NHD099363541,09/08/1983,,No
Tibbetts Road,Barrington,NHD989090469,06/10/1986,41.09,No
Tinkham Garage,Londonderry,NHD062004569,09/08/1983,43.24,No
Troy Mills Landfill,Troy,NHD980520217,09/29/2003,50.00,No
A. O. Polymer,Sparta Township,NJD030253355,09/08/1983,28.91,No
American Cyanamid Co.,Bound Brook,NJD002173276,09/08/1983,50.28,No
Atlantic Resources Corporation,Sayreville,NJD981558430,09/05/2002,50.00,No
Bog Creek Farm,Howell Township,NJD063157150,09/08/1983,43.23,No
Brick Township Landfill,Brick Township,NJD980505176,09/08/1983,58.13,No
Bridgeport Rental & Oil Services,Bridgeport,NJD053292652,09/08/1983,60.73,No
Brook Industrial Park,Bound Brook,NJD078251675,10/04/1989,58.12,No
Burnt Fly Bog,Marlboro Township,NJD980504997,09/08/1983,59.16,No
Caldwell Trucking Co.,Fairfield,NJD048798953,09/08/1983,58.30,No
Chemical Control,Elizabeth,NJD000607481,09/08/1983,47.13,No
Chemical Insecticide Corp.,Edison Township,NJD980484653,08/30/1990,37.93,No
"Chemical Leaman Tank Lines, Inc.",Bridgeport,NJD047321443,09/21/1984,47.53,No
"Chemsol, Inc.",Piscataway,NJD980528889,09/08/1983,42.69,No
Ciba-Geigy Corp.,Toms River,NJD001502517,09/08/1983,50.33,No
Cinnaminson Township (Block 702) Ground Water Contamination,Cinnaminson Township,NJD980785638,06/10/1986,37.93,No
Combe Fill South Landfill,Chester Township,NJD094966611,09/08/1983,45.22,No
"Cornell Dubilier Electronics, Inc.",South Plainfield,NJD981557879,07/28/1998,50.27,No
Cosden Chemical Coatings Corp.,Beverly,NJD000565531,07/22/1987,33.86,No
CPS/Madison Industries,Old Bridge Township,NJD002141190,09/08/1983,69.73,No
"Curcio Scrap Metal, Inc.",Saddle Brook Township,NJD011717584,07/22/1987,34.37,No
"Curtis Specialty Papers, Inc.",Milford,NJD057143984,09/23/2009,50.00,No
D'Imperio Property,Hamilton Township,NJD980529416,09/08/1983,55.79,No
Dayco Corp./L.E. Carpenter Co.,Wharton Borough,NJD002168748,07/22/1987,46.13,No
De Rewal Chemical Co.,Kingwood Township,NJD980761373,09/21/1984,35.72,No
Diamond Alkali Co.,Newark,NJD980528996,09/21/1984,35.40,No
Diamond Head Oil Refinery Div.,Kearny,NJD092226000,09/05/2002,30.00,No
Dover Municipal Well 4,Dover,NJD980654131,09/08/1983,28.90,No
Ellis Property,Evesham Township,NJD980529085,09/08/1983,34.62,No
Emmell's Septic Landfill,Galloway Township,NJD980772727,07/22/1999,50.00,No
Evor Phillips Leasing,Old Bridge Township,NJD980654222,09/08/1983,36.64,No
Ewan Property,Shamong Township,NJD980761365,09/21/1984,50.19,No
Fair Lawn Well Field,Fair Lawn,NJD980654107,09/08/1983,42.49,No
Federal Aviation Administration Technical Center,Atlantic County,NJ9690510020,08/30/1990,39.65,Yes
Former Kil-Tone Company,Vineland,NJN000200874,04/07/2016,65.29,No
Franklin Burn,Franklin Township,NJD986570992,06/17/1996,40.67,No
Fried Industries,East Brunswick Township,NJD041828906,06/10/1986,33.61,No
Garden State Cleaners Co.,Minotola,NJD053280160,03/31/1989,28.90,No
Garfield Ground Water Contamination,Garfield,NJN000206317,09/16/2011,,No
GEMS Landfill,Gloucester Township,NJD980529192,09/08/1983,68.53,No
Global Sanitary Landfill,Old Bridge Township,NJD063160667,03/31/1989,45.92,No
Goose Farm,Plumstead Township,NJD980530109,09/08/1983,47.71,No
Helen Kramer Landfill,Mantua Township,NJD980505366,09/08/1983,72.66,No
"Hercules, Inc. (Gibbstown Plant)",Gibbstown,NJD002349058,09/08/1983,40.36,No
Higgins Disposal,Franklin Township,NJD053102232,08/30/1990,30.87,No
Higgins Farm,Franklin Township,NJD981490261,03/31/1989,30.47,No
Horseshoe Road,Sayreville,NJD980663678,09/29/1995,51.37,No
Iceland Coin Laundry Area Ground Water Plume,Vineland,NJ0001360882,10/22/1999,30.30,No
"Imperial Oil Co., Inc./Champion Chemicals",Morganville,NJD980654099,09/08/1983,33.87,No
JIS Landfill,"Jamesburg, South Brunswick Township",NJD097400998,09/08/1983,45.14,No
"Kauffman & Minteer, Inc.",Jobstown,NJD002493054,03/31/1989,28.51,No
Kin-Buc Landfill,Edison Township,NJD049860836,09/08/1983,50.64,No
King of Prussia,Winslow Township,NJD980505341,09/08/1983,47.19,No
Landfill & Development Co.,Mount Holly,NJD048044325,09/21/1984,33.62,No
Lang Property,Pemberton Township,NJD980505382,09/08/1983,48.89,No
LCP Chemicals Inc.,Linden,NJD079303020,07/28/1998,50.00,No
Lightman Drum Company,Winslow Township,NJD014743678,10/22/1999,42.03,No
Lipari Landfill,Pitman,NJD980505416,09/08/1983,75.60,No
Lone Pine Landfill,Freehold Township,NJD980505424,09/08/1983,66.33,No
Mansfield Trail Dump,Byram,NJN000206345,03/10/2011,50.00,No
"Martin Aaron, Inc.",Camden,NJD014623854,07/22/1999,50.00,No
"Matlack, Inc.",Woolwich Township,NJD043584101,05/24/2013,45.54,No
"Matteo & Sons, Inc.",Thorofare,NJD011770013,09/27/2006,50.00,No
Maywood Chemical Co.,"Maywood, Rochelle Park",NJD980529762,09/08/1983,51.19,No
McGuire Air Force Base #1,Wrightstown,NJ0570024018,10/22/1999,47.20,Yes
Metaltec/Aerosystems,Franklin Borough,NJD002517472,09/08/1983,48.95,No
Middlesex Sampling Plant (USDOE),Middlesex,NJ0890090012,01/19/1999,50.00,Yes
"Monitor Devices, Inc./Intercircuits, Inc.",Wall Township,NJD980529408,06/10/1986,41.93,No
Montgomery Township Housing Development,Montgomery Township,NJD980654164,09/08/1983,37.93,No
Myers Property,Franklin Township,NJD980654198,09/08/1983,33.83,No
Nascolite Corp.,Millville,NJD002362705,09/21/1984,51.13,No
Naval Air Engineering Center,Lakehurst,NJ7170023744,07/22/1987,50.53,Yes
Naval Weapons Station Earle (Site A),Colts Neck,NJ0170022172,08/30/1990,29.65,Yes
NL Industries,Pedricktown,NJD061843249,09/08/1983,52.96,No
Orange Valley Regional Ground Water Contamination,West Orange/Orange,NJD002148799,09/18/2012,50.00,No
Picatinny Arsenal (USARMY),Rockaway Township,NJ3210020704,02/21/1990,42.92,Yes
Pierson's Creek,Newark,NJD002144517,09/22/2014,47.99,No
PJP Landfill,Jersey City,NJD980505648,09/08/1983,28.73,No
Pohatcong Valley Ground Water Contamination,Warren County,NJD981179047,03/31/1989,28.90,No
Price Landfill,Pleasantville,NJD070281175,09/08/1983,,No
Puchack Well Field,Pennsauken Township,NJD981084767,03/06/1998,50.00,No
Quanta Resources,Edgewater,NJD000606442,09/05/2002,50.00,No
"Radiation Technology, Inc.",Rockaway Township,NJD047684451,09/21/1984,42.56,No
Raritan Bay Slag,"Old Bridge Township, Sayreville",NJN000206276,11/04/2009,50.00,No
Reich Farms,Pleasant Plains,NJD980529713,09/08/1983,53.48,No
Ringwood Mines/Landfill,Ringwood Borough,NJD980529739,09/08/1983,52.58,No
Riverside Industrial Park,Newark,NJSFN0204232,05/24/2013,50.00,No
Rockaway Borough Well Field,Rockaway Township,NJD980654115,09/08/1983,42.34,No
Rockaway Township Wells,Rockaway Township,NJD980654214,09/08/1983,28.90,No
Rocky Hill Municipal Well,Rocky Hill Borough,NJD980654156,09/08/1983,37.93,No
Roebling Steel Co.,Florence,NJD073732257,09/08/1983,41.02,No
Rolling Knolls Landfill,Chatham Township,NJD980505192,09/29/2003,58.31,No
Scientific Chemical Processing,Carlstadt,NJD070565403,09/08/1983,55.97,No
Sharkey Landfill,"Parsippany, Troy Hills",NJD980505762,09/08/1983,48.85,No
Sherwin-Williams/Hilliards Creek,Gibbsboro,NJD980417976,03/19/2008,50.00,No
Shieldalloy Corp.,Newfield Borough,NJD002365930,09/21/1984,58.75,No
South Jersey Clothing Co.,Minotola,NJD980766828,10/04/1989,42.24,No
Standard Chlorine,Kearny,NJD002175057,09/19/2007,50.00,No
Swope Oil & Chemical Co.,Pennsauken Township,NJD041743220,09/08/1983,35.68,No
Syncon Resins,South Kearny,NJD064263817,09/08/1983,43.43,No
U.S. Radium Corp.,Orange,NJD980654172,09/08/1983,37.79,No
Unimatic Manufacturing Corporation,Fairfield,NJD002164796,05/12/2014,50.00,No
United States Avenue Burn,Gibbsboro,NJ0001120799,07/22/1999,50.00,No
Universal Oil Products (Chemical Division),East Rutherford,NJD002005106,09/08/1983,54.63,No
Ventron/Velsicol,Woodridge Borough,NJD980529879,09/21/1984,51.38,No
"Vineland Chemical Co., Inc.",Vineland,NJD002385664,09/21/1984,59.16,No
"Waldick Aerospace Devices, Inc.",Wall Township,NJD054981337,06/10/1986,44.86,No
Welsbach & General Gas Mantle (Camden Radiation),"Camden, Gloucester City",NJD986620995,06/17/1996,41.46,No
White Chemical Corp.,Newark,NJD980755623,09/25/1991,,No
White Swan Cleaners/Sun Cleaners Area Ground Water Contamination,Wall Township,NJSFN0204241,09/23/2004,41.63,No
Williams Property,Swainton,NJD980529945,09/08/1983,40.45,No
Woodbrook Road Dump,South Plainfield,NJSFN0204260,04/30/2003,50.00,No
Woodland Route 532 Dump,Woodland Township,NJD980505887,09/21/1984,34.98,No
Woodland Route 72 Dump,Woodland Township,NJD980505879,09/21/1984,31.17,No
Zschiegner Refining,Howell Township,NJD986643153,03/06/1998,50.00,No
AT&SF (Albuquerque),Albuquerque,NMD980622864,12/16/1994,50.00,No
Chevron Questa Mine,Questa,NMD002899094,09/16/2011,50.00,No
Cimarron Mining Corp.,Carrizozo,NMD980749378,10/04/1989,38.93,No
Eagle Picher Carefree Battery,Socorro,NMD001829506,09/19/2007,50.00,No
Fruit Avenue Plume,Albuquerque,NMD986668911,10/22/1999,50.00,No
Grants Chlorinated Solvents Plume,Grants,NM0007271768,07/22/2004,50.00,No
Griggs & Walnut Ground Water Plume,Las Cruces,NM0002271286,06/14/2001,50.00,No
Homestake Mining Co.,Milan,NMD007860935,09/08/1983,34.21,No
Jackpile-Paguate Uranium Mine,Laguna Pueblo,NMN000607033,12/12/2013,50.00,No
Lea and West Second Street,Roswell,NMN000607057,04/07/2016,50.00,No
Lee Acres Landfill (USDOI),Farmington,NMD980750020,08/30/1990,39.37,Yes
McGaffey and Main Groundwater Plume,Roswell,NM0000605386,09/05/2002,50.00,No
North Railroad Avenue Plume,Espanola,NMD986670156,01/19/1999,50.00,No
Prewitt Abandoned Refinery,Prewitt,NMD980622773,08/30/1990,44.24,No
South Valley,Albuquerque,NMD980745558,09/08/1983,,No
United Nuclear Corp.,Church Rock,NMD030443303,09/08/1983,30.36,No
American Thermostat Co.,South Cairo,NYD002066330,09/08/1983,33.61,No
Applied Environmental Services,Glenwood Landing,NYD980535652,06/10/1986,41.15,No
Arsenic Mine,Kent,NYD982531469,11/08/2019,,No
Black River PCBs,Town of Champion,NYN000206296,09/29/2010,48.03,No
Brewster Well Field,Brewster,NYD980652275,09/08/1983,37.93,No
Brookhaven National Laboratory (USDOE),Upton,NY7890008975,11/21/1989,39.92,Yes
Byron Barrel & Drum,Byron,NYD980780670,06/10/1986,37.27,No
Carroll & Dubies Sewage Disposal,Port Jervis,NYD010968014,02/21/1990,33.74,No
Cayuga County Ground Water Contamination,"Aurelius, Fleming, Springport",NYN000204289,09/05/2002,50.00,No
Circuitron Corp.,East Farmingdale,NYD981184229,03/31/1989,54.27,No
Claremont Polychemical,Old Bethpage,NYD002044584,06/10/1986,31.62,No
Colesville Municipal Landfill,Town of Colesville,NYD980768691,06/10/1986,30.26,No
Computer Circuits,Hauppauge,NYD125499673,05/10/1999,50.00,No
Cortese Landfill,Village of Narrowsburg,NYD980528475,06/10/1986,32.11,No
"Crown Cleaners of Watertown, Inc.",Carthage,NYD986965333,09/05/2002,49.00,No
Dewey Loeffel Landfill,Nassau,NYD000512335,03/10/2011,50.00,No
Diaz Chemical Corporation,Holley,NYD067532580,07/22/2004,50.00,No
Eighteenmile Creek,Lockport,NYN000206456,03/15/2012,50.00,No
Endicott Village Well Field,Village of Endicott,NYD980780746,06/10/1986,35.57,No
"Facet Enterprises, Inc.",Elmira,NYD073675514,09/08/1983,46.67,No
FMC Corp. (Dublin Road Landfill),Town of Shelby,NYD000511857,06/10/1986,32.90,No
Forest Glen Mobile Home Subdivision,Niagara Falls,NYD981560923,11/21/1989,,No
Fulton Avenue,North Hempstead,NY0000110247,03/06/1998,33.08,No
GCL Tie and Treating Inc.,Village of Sidney,NYD981566417,05/31/1994,48.54,No
GE Moreau,South Glens Falls,NYD980528335,09/08/1983,58.21,No
General Motors (Central Foundry Division),Massena,NYD091972554,09/21/1984,40.71,No
Genzale Plating Co.,Franklin Square,NYD002050110,07/22/1987,33.79,No
"Goldisc Recordings, Inc.",Holbrook,NYD980768717,06/10/1986,33.39,No
Gowanus Canal,Brooklyn,NYN000206222,03/04/2010,50.00,No
Griffiss Air Force Base,Rome,NY4571924451,07/22/1987,34.20,Yes
Haviland Complex,Town of Hyde Park,NYD980785661,06/10/1986,33.62,No
Hertel Landfill,Plattekill,NYD980780779,06/10/1986,33.62,No
Hooker (S Area),Niagara Falls,NYD980651087,09/08/1983,51.62,No
Hooker Chemical & Plastics Corp./Ruco Polymer Corp.,Hicksville,NYD002920312,06/10/1986,41.60,No
Hopewell Precision Area Contamination,Hopewell Junction,NYD066813064,04/27/2005,50.00,No
Hudson River PCBs,Hudson River,NYD980763841,09/21/1984,54.66,No
Islip Municipal Sanitary Landfill,Islip,NYD980506901,03/31/1989,33.39,No
Johnstown City Landfill,Town of Johnstown,NYD980506927,06/10/1986,48.36,No
"Jones Chemicals, Inc.",Caledonia,NYD000813428,02/21/1990,33.62,No
Kentucky Avenue Well Field,Horseheads,NYD980650667,09/08/1983,39.65,No
"Lawrence Aviation Industries, Inc.",Port Jefferson Station,NYD002041531,02/04/2000,50.00,No
Lehigh Valley Railroad,Le Roy,NYD986950251,01/19/1999,50.00,No
Li Tungsten Corp.,Glen Cove,NYD986882660,10/14/1992,50.00,No
Liberty Industrial Finishing,Farmingdale,NYD000337295,06/10/1986,50.65,No
Little Valley,Little Valley,NY0001233634,06/17/1996,,No
"MacKenzie Chemical Works, Inc.",Central Islip,NYD980753420,09/13/2001,50.00,No
Magna Metals,Cortlandt Manor,NYD001394881,05/15/2019,50.00,No
Malta Rocket Fuel Area,Malta,NYD980535124,07/22/1987,33.62,No
"Mattiace Petrochemical Co., Inc.",Glen Cove,NYD000512459,03/31/1989,31.90,No
"Mercury Refining, Inc.",Colonie,NYD048148175,09/08/1983,44.58,No
Mohonk Road Industrial Plant,High Falls,NYD986950012,01/19/1999,50.00,No
"Nepera Chemical Co., Inc.",Maybrook,NYD000511451,06/10/1986,39.87,No
New Cassel/Hicksville Ground Water Contamination,New Cassel/Hicksville,NY0001095363,09/16/2011,50.00,No
Newtown Creek,"Brooklyn, Queens",NYN000206282,09/29/2010,50.00,No
Niagara Mohawk Power Corp. (Saratoga Spings Plant),Saratoga Springs,NYD980664361,02/21/1990,35.48,No
Old Bethpage Landfill,Oyster Bay,NYD980531727,09/08/1983,58.83,No
Old Roosevelt Field Contaminated Ground Water Area,Garden City,NYSFN0204234,05/11/2000,50.00,No
Olean Well Field,Olean,NYD980528657,09/08/1983,44.46,No
Onondaga Lake,Syracuse,NYD986913580,12/16/1994,50.00,No
Peninsula Boulevard Ground Water Plume,Hewlett,NYN000204407,07/22/2004,50.00,No
Plattsburgh Air Force Base,Plattsburgh,NY4571924774,11/21/1989,30.34,Yes
Pollution Abatement Services,Oswego,NYD000511659,09/08/1983,,No
Port Washington Landfill,Port Washington,NYD980654206,09/08/1983,45.46,No
Preferred Plating Corp.,Farmingdale,NYD980768774,06/10/1986,35.06,No
Ramapo Landfill,Ramapo,NYD000511493,09/08/1983,44.73,No
Richardson Hill Road Landfill/Pond,Sidney Center,NYD980507735,07/22/1987,34.86,No
"Robintech, Inc./National Pipe Co.",Town of Vestal,NYD002232957,06/10/1986,30.75,No
Rosen Brothers Scrap Yard/Dump,Cortland,NYD982272734,03/31/1989,51.35,No
Rowe Industries Ground Water Contamination,"Noyack, Sag Harbor",NYD981486954,07/22/1987,31.94,No
Saint-Gobain Performance Plastics,Village of Hoosick Falls,NYD004986741,08/03/2017,50.00,No
Sarney Farm,Amenia,NYD980535165,06/10/1986,33.20,No
"Sealand Restoration, Inc.",Lisbon,NYD980535181,08/30/1990,29.36,No
Seneca Army Depot,Romulus,NY0213820830,08/30/1990,35.52,Yes
Shenandoah Road Ground Water Contamination,East Fishkill,NYSFN0204269,06/14/2001,50.00,No
Sidney Landfill,Sidney,NYD980507677,03/31/1989,29.36,No
Sinclair Refinery,Wellsville,NYD980535215,09/08/1983,53.90,No
Smithtown Ground Water Contamination,Smithtown,NY0002318889,01/19/1999,50.00,No
Solvent Savers,Lincklaen,NYD980421176,09/08/1983,34.78,No
Stanton Cleaners Area Ground Water Contamination,Great Neck,NYD047650197,05/10/1999,35.76,No
"Tri-Cities Barrel Co., Inc.",Port Crane,NYD980509285,10/04/1989,44.06,No
Vestal Water Supply Well 1-1,Vestal,NYD980763767,09/08/1983,37.93,No
Volney Municipal Landfill,Town of Volney,NYD980509376,06/10/1986,32.89,No
Wappinger Creek,Dutchess County,NYN000201758,09/09/2016,50.00,No
Wolff-Alport Chemical Company,Ridgewood,NYC200400810,05/12/2014,50.00,No
York Oil Co.,Moira,NYD000511733,09/08/1983,47.70,No
ABC One Hour Cleaners,Jacksonville,NCD024644494,03/31/1989,29.11,No
Aberdeen Contaminated Ground Water,Aberdeen,NCN000407447,09/03/2008,50.00,No
Aberdeen Pesticide Dumps,Aberdeen,NCD980843346,03/31/1989,52.70,No
Barber Orchard,Waynesville,NCSFN0406989,09/13/2001,70.71,No
"Benfield Industries, Inc.",Hazelwood,NCD981026479,10/04/1989,31.67,No
Blue Ridge Plating Company,Arden,NCD044447589,09/14/2005,38.67,No
Bypass 601 Ground Water Contamination,Concord,NCD044440303,06/10/1986,37.93,No
Camp Lejeune Military Reservation,Onslow County,NC6170022580,10/04/1989,33.13,Yes
Cape Fear Wood Preserving,Fayetteville,NCD003188828,07/22/1987,34.09,No
Carolina Transformer Co.,Fayetteville,NCD003188844,07/22/1987,33.76,No
Celanese Corp. (Shelby Fiber Operations),Shelby,NCD003446721,06/10/1986,48.98,No
Charles Macon Lagoon & Drum Storage,Cordova,NCD980840409,07/22/1987,47.10,No
"Chemtronics, Inc.",Swannanoa,NCD095459392,09/08/1983,30.16,No
Cherry Point Marine Corps Air Station,Havelock,NC1170027261,12/16/1994,70.71,Yes
Cristex Drum,Oxford,NC0001606250,12/12/2013,48.00,No
"CTS of Asheville, Inc.",Asheville,NCD003149556,03/15/2012,38.40,No
Davis Park Road TCE,Gastonia,NCD986175644,01/19/1999,33.50,No
"FCX, Inc. (Statesville Plant)",Statesville,NCD095458527,02/21/1990,37.93,No
"FCX, Inc. (Washington Plant)",Washington,NCD981475932,03/31/1989,40.39,No
Geigy Chemical Corp. (Aberdeen Plant),Aberdeen,NCD981927502,10/04/1989,33.02,No
General Electric Co/Shepherd Farm,East Flat Rock,NCD079044426,12/16/1994,70.71,No
GMH Electronics,Roxboro,NCN000410161,09/23/2009,50.00,No
Hemphill Road TCE,Gastonia,NC0002374445,12/12/2013,50.00,No
Holcomb Creosote Co,Yadkinville,NCD024900987,09/18/2012,48.00,No
Horton Iron and Metal,Wilmington,NCN000407480,09/16/2011,48.03,No
Jadco-Hughes Facility,Belmont,NCD980729602,06/10/1986,42.00,No
JFD Electronics/Channel Master,Oxford,NCD122263825,10/04/1989,39.03,No
Kerr-McGee Chemical Corp - Navassa,Navassa,NCD980557805,03/04/2010,50.00,No
"Koppers Co., Inc. (Morrisville Plant)",Morrisville,NCD003200383,03/31/1989,41.89,No
National Starch & Chemical Corp.,Salisbury,NCD991278953,10/04/1989,46.51,No
North Belmont PCE,North Belmont,NCD986187128,07/22/1999,50.00,No
"North Carolina State University (Lot 86, Farm Unit #1)",Raleigh,NCD980557656,06/10/1986,48.36,No
Ore Knob Mine,Ashe County,NCN000409895,09/23/2009,50.00,No
Potter's Septic Tank Service Pits,Maco,NCD981023260,03/31/1989,29.14,No
Ram Leather Care,Charlotte,NCD982096653,09/29/2003,40.43,No
Sigmon's Septic Tank Service,Statesville,NCD062555792,04/27/2005,30.03,No
Ward Transformer,Raleigh,NCD003202603,04/30/2003,50.00,No
Wright Chemical Corporation,Riegelwood,NCD024766719,03/10/2011,48.03,No
Allied Chemical & Ironton Coke,Ironton,OHD043730217,09/08/1983,47.05,No
Behr Dayton Thermal System VOC Plume,Dayton,OHN000510164,04/09/2009,50.00,No
Big D Campground,Kingsville,OHD980611735,09/08/1983,30.77,No
Chem-Dyne,Hamilton,OHD074727793,09/08/1983,,No
Copley Square Plaza,Copley,OH0000563122,04/27/2005,50.00,No
Donnelsville Contaminated Aquifer,Donnelsville,OHN000510459,09/13/2018,35.06,No
E.H. Schilling Landfill,Hamilton Township,OHD980509947,09/08/1983,34.56,No
East Troy Contaminated Aquifer,Troy,OHSFN0507962,09/03/2008,50.00,No
Feed Materials Production Center (USDOE),Fernald,OH6890008976,11/21/1989,57.56,Yes
Fields Brook,Ashtabula,OHD980614572,09/08/1983,44.95,No
Fultz Landfill,Jackson Township,OHD980794630,09/08/1983,39.42,No
Industrial Excess Landfill,Uniontown,OHD000377911,06/10/1986,51.13,No
Lammers Barrel,Beavercreek,OHD981537582,09/29/2003,69.33,No
Little Scioto River,Marion Township,OHN000509950,09/23/2009,48.03,No
Miami County Incinerator,Troy,OHD980611800,09/21/1984,57.84,No
Milford Contaminated Aquifer,Milford,OHSFN0507973,03/10/2011,50.00,No
Mound Plant (USDOE),Miamisburg,OH6890008984,11/21/1989,34.61,Yes
Nease Chemical,Salem,OHD980610018,09/08/1983,47.19,No
New Carlisle Landfill,New Carlisle,OHN000509238,04/09/2009,46.40,No
New Lyme Landfill,New Lyme,OHD980794614,09/08/1983,31.19,No
North Sanitary Landfill,Dayton,OHD980611875,05/31/1994,50.00,No
Old Mill,Rock Creek,OHD980510200,09/08/1983,35.95,No
Ormet Corp.,Hannibal,OHD004379970,07/22/1987,46.44,No
Peters Cartridge Factory,Kings Mills,OHD987051083,09/18/2012,50.00,No
Powell Road Landfill,Dayton,OHD000382663,09/21/1984,31.62,No
"Pristine, Inc.",Reading,OHD076773712,09/08/1983,35.25,No
Reilly Tar & Chemical Corp. (Dover Plant),Dover,OHD980610042,08/30/1990,31.38,No
"Sanitary Landfill Co. (Industrial Waste Disposal Co., Inc.)",Dayton,OHD093895787,06/10/1986,35.57,No
Skinner Landfill,West Chester,OHD063963714,09/08/1983,30.23,No
South Point Plant,South Point,OHD071650592,09/21/1984,46.33,No
Summit National,Deerfield Township,OHD980609994,09/08/1983,52.28,No
"TRW, Inc. (Minerva Plant)",Minerva,OHD004179339,03/31/1989,38.08,No
"United Scrap Lead Co., Inc.",Troy,OHD018392928,09/21/1984,58.15,No
Valley Pike VOCs,Riverside,OHN000510489,09/09/2016,50.00,No
Van Dale Junkyard,Marietta,OHD980794606,06/10/1986,33.03,No
West Troy Contaminated Aquifer,Troy,OHN000508132,09/18/2012,50.00,No
Wright-Patterson Air Force Base,Dayton,OH7571724312,10/04/1989,57.85,Yes
Zanesville Well Field,Zanesville,OHD980794598,09/08/1983,35.59,No
Eagle Industries,Midwest City,OKN000607068,01/18/2018,50.00,No
Hardage/Criner,Criner,OKD000400093,09/08/1983,51.01,No
Hudson Refinery,Cushing,OKD082471988,07/22/1999,29.34,No
Oklahoma Refining Co.,Cyril,OKD091598870,02/21/1990,46.01,No
Tar Creek (Ottawa County),Ottawa County,OKD980629844,09/08/1983,58.15,No
Tinker Air Force Base (Soldier Creek/Building 3001),Oklahoma City,OK1571724391,07/22/1987,42.24,Yes
Tulsa Fuel and Manufacturing,Collinsville,OKD987096195,01/19/1999,50.00,No
Wilcox Oil Company,Creek County,OK0001010917,12/12/2013,50.00,No
Black Butte Mine,Cottage Grove,OR0000515759,03/04/2010,50.00,No
Formosa Mine,Riddle,ORN001002616,09/19/2007,50.00,No
Fremont National Forest/White King and Lucky Lass Uranium Mines (USDA),Lake County,OR7122307658,04/25/1995,50.00,Yes
